strateji,tohum,gun,masa,asci,salon,plan,servis,kizgin,kisi,ciro,memnuniyet,itibar,kasa
pasif,20260910,40,4,1,0,9,8,1,15,103600,7758,5429,1486163
pasif,20260910,41,4,1,0,11,9,2,18,100285,7931,5534,1554200
pasif,20260910,42,4,1,0,10,6,4,14,74900,6540,5153,1300512
pasif,20260910,43,4,1,0,7,6,1,15,108170,7312,5257,1374314
pasif,20260910,44,4,1,0,9,8,1,15,76400,8865,5498,1425975
pasif,20260910,45,4,1,0,9,4,5,10,101850,9296,5501,1495247
pasif,20260910,46,4,1,0,6,6,0,17,111700,8481,5753,1571269
pasif,20260910,47,4,1,0,7,7,0,17,102730,7815,6034,1642952
pasif,20260910,48,4,1,0,14,11,3,17,108870,7562,6045,1717411
pasif,20260910,49,4,1,0,10,9,1,20,100200,5284,5771,1478737
pasif,20260910,50,4,1,0,10,8,2,11,97800,6481,5270,1545574
pasif,20260910,51,4,1,0,10,10,0,16,80300,6831,5284,1600119
pasif,20260910,52,4,1,0,8,7,1,15,103700,4415,4726,1670772
pasif,20260910,53,4,1,0,8,8,0,16,85850,5707,4297,1728704
pasif,20260910,54,4,1,0,7,5,2,13,86760,8397,4567,1788884
pasif,20260910,55,4,1,0,10,6,4,13,115985,8829,4213,1868995
pasif,20260910,56,4,1,0,8,4,4,10,79500,6636,3803,1614185
pasif,20260910,57,4,1,0,7,6,1,12,64000,6018,3602,1657564
pasif,20260910,58,4,1,0,5,5,0,14,88150,5417,3593,1717136
pasif,20260910,59,4,1,0,6,4,2,12,81550,9871,3990,1772655
pasif,20260910,60,4,1,0,7,7,0,14,91500,7642,4104,1834729
pasif,20268829,1,4,1,0,8,7,1,12,64950,7850,3083,844175
pasif,20268829,2,4,1,0,4,4,0,13,81975,8905,3444,901319
pasif,20268829,3,4,1,0,3,3,0,14,77120,7695,3662,954923
pasif,20268829,4,4,1,0,7,6,1,13,78700,8291,3970,1008371
pasif,20268829,5,4,1,0,6,6,0,14,90040,7508,4117,1070185
pasif,20268829,6,4,1,0,9,6,3,13,65990,7771,4062,1115698
pasif,20268829,7,4,1,0,8,6,2,14,80750,7703,3888,877364
pasif,20268829,8,4,1,0,7,7,0,14,62960,8079,4090,920411
pasif,20268829,9,4,1,0,9,9,0,15,82250,8561,4455,976156
pasif,20268829,10,4,1,0,9,8,1,14,74300,6680,4530,1026598
pasif,20268829,11,4,1,0,7,6,1,13,75575,7973,4669,1078390
pasif,20268829,12,4,1,0,9,8,1,14,60015,8586,4877,1119327
pasif,20268829,13,4,1,0,11,11,0,20,118100,5596,4658,1199422
pasif,20268829,14,4,1,0,11,6,5,14,63605,5232,4052,947380
pasif,20268829,15,4,1,0,3,2,1,7,49350,9892,3511,980943
pasif,20268829,16,4,1,0,9,9,0,14,87785,6957,3565,1040648
pasif,20268829,17,4,1,0,7,6,1,13,68740,9329,3790,1088251
pasif,20268829,18,4,1,0,10,10,0,14,103750,7458,3641,1158838
pasif,20268829,19,4,1,0,7,7,0,14,69100,8938,3915,1205578
pasif,20268829,20,4,1,0,8,8,0,18,116300,7391,4068,1284018
pasif,20268829,21,4,1,0,8,7,1,17,105900,5946,4082,1058376
pasif,20268829,22,4,1,0,6,3,3,10,50250,7923,3430,1092608
pasif,20268829,23,4,1,0,9,9,0,13,76945,7380,3534,1145124
pasif,20268829,24,4,1,0,8,5,3,10,69950,9566,3615,1192670
pasif,20268829,25,4,1,0,8,8,0,14,84800,6824,3655,1250062
pasif,20268829,26,4,1,0,9,7,2,12,81600,6646,3595,1305281
pasif,20268829,27,4,1,0,8,6,2,11,58250,6750,3170,1344578
pasif,20268829,28,4,1,0,10,8,2,14,67650,6332,3173,1090746
pasif,20268829,29,4,1,0,7,6,1,11,54950,8867,3467,1127947
pasif,20268829,30,4,1,0,8,8,0,14,92750,8751,3715,1191001
pasif,20268829,31,4,1,0,7,6,1,13,88150,5632,3597,1251163
pasif,20268829,32,4,1,0,8,7,1,13,91170,8786,3796,1313658
pasif,20268829,33,4,1,0,6,5,1,13,66700,5216,3548,1358979
pasif,20268829,34,4,1,0,7,5,2,15,77850,8601,3933,1411478
pasif,20268829,35,4,1,0,9,8,1,15,97910,7077,3959,1176301
pasif,20268829,36,4,1,0,6,6,0,14,121910,7382,4137,1260088
pasif,20268829,37,4,1,0,10,7,3,12,75050,4998,3946,1310981
pasif,20268829,38,4,1,0,8,7,1,13,94150,9600,4211,1375017
pasif,20268829,39,4,1,0,9,8,1,13,74650,5553,3907,1425655
pasif,20268829,40,4,1,0,8,8,0,14,75950,8614,4346,1476782
pasif,20268829,41,4,1,0,10,7,3,14,55140,7553,3490,1514496
pasif,20268829,42,4,1,0,13,11,2,14,79050,6986,2572,1263560
pasif,20268829,43,4,1,0,8,8,0,12,83300,6748,2651,1320245
pasif,20268829,44,4,1,0,5,5,0,12,72200,5669,2530,1369410
pasif,20268829,45,4,1,0,4,3,1,8,27600,9893,2570,1387981
pasif,20268829,46,4,1,0,6,6,0,12,73685,9366,3050,1438153
pasif,20268829,47,4,1,0,8,6,2,11,83550,8523,3260,1495129
pasif,20268829,48,4,1,0,10,8,2,13,94995,8695,2844,1560575
pasif,20268829,49,4,1,0,5,4,1,14,91910,8961,3293,1316568
pasif,20268829,50,4,1,0,8,8,0,13,92500,7986,3535,1378902
pasif,20268829,51,4,1,0,7,7,0,14,94000,8847,3829,1442572
pasif,20268829,52,4,1,0,5,4,1,10,63220,9324,3838,1485943
pasif,20268829,53,4,1,0,5,3,2,11,101100,7901,3929,1555380
pasif,20268829,54,4,1,0,9,9,0,14,86500,8091,4251,1614411
pasif,20268829,55,4,1,0,11,8,3,14,87955,6673,4167,1674103
pasif,20268829,56,4,1,0,8,6,2,12,59900,6433,3792,1405414
pasif,20268829,57,4,1,0,6,6,0,14,89410,7117,3824,1466534
pasif,20268829,58,4,1,0,10,10,0,14,89590,7225,3901,1527856
pasif,20268829,59,4,1,0,6,5,1,12,77250,7807,4233,1580432
pasif,20268829,60,4,1,0,8,6,2,11,58265,7660,4276,1620329
pasif,20276748,1,4,1,0,7,7,0,13,57750,8218,3161,839006
pasif,20276748,2,4,1,0,7,6,1,11,39600,8413,3344,865805
pasif,20276748,3,4,1,0,7,6,1,10,59150,8137,3347,905902
pasif,20276748,4,4,1,0,6,6,0,13,81100,9165,3613,960828
pasif,20276748,5,4,1,0,6,5,1,13,69255,9789,3960,1008189
pasif,20276748,6,4,1,0,8,7,1,15,79600,8861,4180,1062042
pasif,20276748,7,4,1,0,10,10,0,18,94060,7589,4410,832976
pasif,20276748,8,4,1,0,7,6,1,14,63450,9006,4711,875722
pasif,20276748,9,4,1,0,9,9,0,16,80990,7011,4749,931005
pasif,20276748,10,4,1,0,9,8,1,15,65760,6530,4869,975630
pasif,20276748,11,4,1,0,8,7,1,14,68750,7793,4952,1022115
pasif,20276748,12,4,1,0,8,5,3,12,61750,4703,4558,1063745
pasif,20276748,13,4,1,0,8,5,3,14,80915,8063,4510,1120476
pasif,20276748,14,4,1,0,8,7,1,17,94050,6929,4592,889216
pasif,20276748,15,4,1,0,7,6,1,14,82700,8999,5016,945452
pasif,20276748,16,4,1,0,6,5,1,12,69195,7168,4710,993639
pasif,20276748,17,4,1,0,8,6,2,11,60800,8316,4634,1035013
pasif,20276748,18,4,1,0,8,6,2,13,92150,8007,4782,1097696
pasif,20276748,19,4,1,0,7,7,0,16,82660,7291,4952,1153879
pasif,20276748,20,4,1,0,13,12,1,19,106150,7096,5098,1225707
pasif,20276748,21,4,1,0,10,9,1,18,108380,7615,5177,1001819
pasif,20276748,22,4,1,0,8,6,2,14,82000,8078,5305,1057444
pasif,20276748,23,4,1,0,7,7,0,16,90075,8547,5510,1118957
pasif,20276748,24,4,1,0,10,6,4,12,67150,6826,5184,1164305
pasif,20276748,25,4,1,0,8,6,2,11,65740,8581,5122,1208950
pasif,20276748,26,4,1,0,8,8,0,16,106325,8879,5365,1281477
pasif,20276748,27,4,1,0,11,8,3,15,77850,5041,4849,1334120
pasif,20276748,28,4,1,0,11,9,2,16,110490,6198,4206,1110122
pasif,20276748,29,4,1,0,6,6,0,15,90200,8631,4507,1172304
pasif,20276748,30,4,1,0,10,9,1,14,86770,7522,4505,1231652
pasif,20276748,31,4,1,0,9,9,0,15,124600,8458,4714,1316708
pasif,20276748,32,4,1,0,6,3,3,9,113500,7912,4409,1394200
pasif,20276748,33,4,1,0,9,8,1,14,96750,7396,4521,1459608
pasif,20276748,34,4,1,0,9,9,0,19,146900,5612,4485,1560874
pasif,20276748,35,4,1,0,11,11,0,19,97800,4983,4077,1325358
pasif,20276748,36,4,1,0,10,8,2,11,68590,7891,3179,1372364
pasif,20276748,37,4,1,0,7,6,1,12,71750,5799,3071,1421211
pasif,20276748,38,4,1,0,6,6,0,13,112850,9331,3537,1499812
pasif,20276748,39,4,1,0,8,7,1,13,89700,7506,4041,1561037
pasif,20276748,40,4,1,0,7,6,1,13,75850,3636,3607,1612387
pasif,20276748,41,4,1,0,8,6,2,13,115450,7571,3652,1691275
pasif,20276748,42,4,1,0,10,8,2,15,99500,6957,3664,1454556
pasif,20276748,43,4,1,0,5,4,1,12,56600,5654,3526,1492938
pasif,20276748,44,4,1,0,8,8,0,14,95400,4422,3163,1557920
pasif,20276748,45,4,1,0,6,6,0,13,91850,6267,3228,1620245
pasif,20276748,46,4,1,0,5,5,0,13,106735,7623,3421,1693335
pasif,20276748,47,4,1,0,8,8,0,13,107550,9397,3810,1766360
pasif,20276748,48,4,1,0,8,6,2,15,133300,5743,2998,1856828
pasif,20276748,49,4,1,0,8,5,3,13,71000,7275,3048,1598252
pasif,20276748,50,4,1,0,9,6,3,9,55400,5852,2772,1635841
pasif,20276748,51,4,1,0,6,6,0,12,79430,7294,2880,1690272
pasif,20276748,52,4,1,0,5,5,0,13,62510,8168,3114,1732767
pasif,20276748,53,4,1,0,8,7,1,12,69850,8739,3361,1780182
pasif,20276748,54,4,1,0,8,6,2,10,67070,6463,3349,1826465
pasif,20276748,55,4,1,0,11,11,0,17,98900,9093,3686,1893471
pasif,20276748,56,4,1,0,8,6,2,15,111930,8405,3893,1660217
pasif,20276748,57,4,1,0,7,7,0,14,62850,8777,4261,1702756
pasif,20276748,58,4,1,0,5,4,1,14,117900,8032,4412,1783412
pasif,20276748,59,4,1,0,7,7,0,15,90000,8299,4861,1844054
pasif,20276748,60,4,1,0,8,6,2,11,75350,3364,3956,1895058
pasif,20284667,1,4,1,0,6,6,0,13,82050,9243,3344,855800
pasif,20284667,2,4,1,0,4,4,0,13,75000,9820,3771,906777
pasif,20284667,3,4,1,0,4,3,1,11,78450,9890,4128,960205
pasif,20284667,4,4,1,0,7,5,2,13,84275,8111,4005,1018369
pasif,20284667,5,4,1,0,7,5,2,12,57005,9871,4258,1056892
pasif,20284667,6,4,1,0,12,9,3,15,73550,6628,4231,1106504
pasif,20284667,7,4,1,0,6,4,2,13,87780,8940,4265,875736
pasif,20284667,8,4,1,0,7,6,1,14,72200,3314,3801,924722
pasif,20284667,9,4,1,0,5,4,1,13,64750,7947,3967,968250
pasif,20284667,10,4,1,0,9,9,0,14,75035,6333,4015,1019146
pasif,20284667,11,4,1,0,5,4,1,13,61600,6820,3817,1061019
pasif,20284667,12,4,1,0,10,9,1,12,64800,8357,3890,1105089
pasif,20284667,13,4,1,0,6,5,1,17,97950,8633,4345,1171672
pasif,20284667,14,4,1,0,9,6,3,14,85800,8221,4360,934530
pasif,20284667,15,4,1,0,7,4,3,9,47540,6701,4087,966886
pasif,20284667,16,4,1,0,5,3,2,11,55850,9682,4387,1004910
pasif,20284667,17,4,1,0,5,3,2,12,94180,9895,4676,1069186
pasif,20284667,18,4,1,0,7,6,1,12,77300,3514,3818,1121535
pasif,20284667,19,4,1,0,6,5,1,13,79450,7276,3857,1175204
pasif,20284667,20,4,1,0,9,8,1,16,98360,6575,3851,1242515
pasif,20284667,21,4,1,0,7,6,1,14,79485,5646,3191,999243
pasif,20284667,22,4,1,0,6,5,1,12,61300,9243,3583,1040940
pasif,20284667,23,4,1,0,7,6,1,12,56580,8101,3664,1079488
pasif,20284667,24,4,1,0,5,5,0,14,77050,5696,3604,1131723
pasif,20284667,25,4,1,0,9,6,3,11,72685,7251,3622,1181174
pasif,20284667,26,4,1,0,7,7,0,14,77670,7770,3784,1234198
pasif,20284667,27,4,1,0,11,8,3,14,79800,4897,3372,1288137
pasif,20284667,28,4,1,0,10,7,3,14,65600,7760,3495,1032703
pasif,20284667,29,4,1,0,10,10,0,14,79750,7583,3617,1086940
pasif,20284667,30,4,1,0,8,8,0,14,71640,8087,3889,1135561
pasif,20284667,31,4,1,0,8,7,1,11,77000,5663,3521,1187875
pasif,20284667,32,4,1,0,7,7,0,14,80950,8813,3818,1242896
pasif,20284667,33,4,1,0,4,3,1,13,65560,8902,4212,1288655
pasif,20284667,34,4,1,0,8,7,1,16,121970,7081,4272,1371693
pasif,20284667,35,4,1,0,10,9,1,17,147945,3810,4260,1171697
pasif,20284667,36,4,1,0,8,7,1,14,82980,9073,4498,1228885
pasif,20284667,37,4,1,0,7,7,0,15,67025,8594,4801,1274397
pasif,20284667,38,4,1,0,9,8,1,13,80000,7370,4682,1329058
pasif,20284667,39,4,1,0,7,6,1,13,71570,8100,4536,1377342
pasif,20284667,40,4,1,0,8,6,2,13,81250,7699,4708,1432118
pasif,20284667,41,4,1,0,8,6,2,17,106860,7444,4761,1505250
pasif,20284667,42,4,1,0,12,11,1,19,99085,7219,4847,1268265
pasif,20284667,43,4,1,0,9,7,2,13,82165,8304,5017,1324942
pasif,20284667,44,4,1,0,7,6,1,13,77550,7513,5033,1377445
pasif,20284667,45,4,1,0,7,7,0,16,74750,8300,5261,1428036
pasif,20284667,46,4,1,0,7,7,0,16,85860,8768,5794,1486715
pasif,20284667,47,4,1,0,7,6,1,16,90200,6079,5649,1547816
pasif,20284667,48,4,1,0,10,7,3,16,94050,7886,5706,1611863
pasif,20284667,49,4,1,0,9,4,5,10,55750,6322,4915,1342935
pasif,20284667,50,4,1,0,4,3,1,13,76950,5064,4569,1395002
pasif,20284667,51,4,1,0,8,8,0,15,91000,6575,4601,1456359
pasif,20284667,52,4,1,0,5,5,0,15,80510,8085,4947,1511728
pasif,20284667,53,4,1,0,9,7,2,13,60150,8900,5141,1552368
pasif,20284667,54,4,1,0,10,9,1,14,70090,8101,5196,1599980
pasif,20284667,55,4,1,0,9,8,1,18,106450,5191,4536,1672055
pasif,20284667,56,4,1,0,8,6,2,13,99000,6868,4390,1431476
pasif,20284667,57,4,1,0,7,6,1,13,93050,7720,4498,1494615
pasif,20284667,58,4,1,0,7,6,1,14,101200,3113,3933,1563908
pasif,20284667,59,4,1,0,6,6,0,14,89050,8717,4185,1624390
pasif,20284667,60,4,1,0,4,3,1,13,67000,8944,4426,1670101
pasif,20292586,1,4,1,0,6,6,0,13,54800,9495,3480,837890
pasif,20292586,2,4,1,0,9,9,0,14,74850,7103,3480,888722
pasif,20292586,3,4,1,0,8,8,0,14,71455,9118,3823,937326
pasif,20292586,4,4,1,0,8,8,0,14,98140,7254,3943,1005257
pasif,20292586,5,4,1,0,6,5,1,12,60440,8671,4097,1046474
pasif,20292586,6,4,1,0,11,10,1,17,77010,7620,4423,1098930
pasif,20292586,7,4,1,0,7,5,2,16,69200,5740,4262,852688
pasif,20292586,8,4,1,0,9,9,0,15,69600,6751,4392,899700
pasif,20292586,9,4,1,0,9,9,0,15,76650,6643,4502,951668
pasif,20292586,10,4,1,0,10,10,0,15,83350,6025,4439,1008047
pasif,20292586,11,4,1,0,7,6,1,13,68800,5720,4237,1054713
pasif,20292586,12,4,1,0,7,7,0,15,62300,7519,4390,1096652
pasif,20292586,13,4,1,0,11,10,1,18,104410,7556,4550,1167551
pasif,20292586,14,4,1,0,8,6,2,16,96595,7912,4628,937940
pasif,20292586,15,4,1,0,6,5,1,13,72580,6878,4962,987522
pasif,20292586,16,4,1,0,9,7,2,11,58295,8606,4992,1027027
pasif,20292586,17,4,1,0,6,6,0,16,64915,8834,5316,1070932
pasif,20292586,18,4,1,0,9,9,0,17,113450,4936,4839,1147677
pasif,20292586,19,4,1,0,5,4,1,11,57000,5686,4312,1186163
pasif,20292586,20,4,1,0,10,9,1,18,118450,4747,4067,1266515
pasif,20292586,21,4,1,0,8,7,1,16,102250,6142,3859,1038342
pasif,20292586,22,4,1,0,7,7,0,14,75970,8996,4232,1090232
pasif,20292586,23,4,1,0,9,9,0,15,77640,7683,4412,1143058
pasif,20292586,24,4,1,0,9,8,1,14,87800,6264,4398,1202510
pasif,20292586,25,4,1,0,7,7,0,15,108245,7064,4490,1276615
pasif,20292586,26,4,1,0,7,6,1,10,66650,6273,4110,1322189
pasif,20292586,27,4,1,0,7,5,2,15,121410,3520,2023,1405547
pasif,20292586,28,4,1,0,8,8,0,14,68450,5508,1866,1152307
pasif,20292586,29,4,1,0,4,3,1,6,42790,7280,1540,1182333
pasif,20292586,30,4,1,0,5,5,0,10,46910,9621,1908,1214575
pasif,20292586,31,4,1,0,6,6,0,11,85320,9384,2283,1272686
pasif,20292586,32,4,1,0,4,4,0,12,71300,9248,2639,1320571
pasif,20292586,33,4,1,0,6,6,0,12,78200,5192,2696,1374597
pasif,20292586,34,4,1,0,6,4,2,11,63150,7898,2675,1418436
pasif,20292586,35,4,1,0,6,6,0,15,72100,7162,2812,1165457
pasif,20292586,36,4,1,0,6,6,0,12,52505,8872,3085,1200968
pasif,20292586,37,4,1,0,5,5,0,13,89700,7969,3451,1261626
pasif,20292586,38,4,1,0,7,6,1,11,56900,8602,3454,1300202
pasif,20292586,39,4,1,0,6,6,0,14,77190,7558,3497,1352948
pasif,20292586,40,4,1,0,7,6,1,13,51650,6675,3647,1387855
pasif,20292586,41,4,1,0,9,8,1,12,64700,5778,3167,1431677
pasif,20292586,42,4,1,0,6,5,1,14,88700,8050,3453,1188137
pasif,20292586,43,4,1,0,6,6,0,14,71390,8390,3712,1237714
pasif,20292586,44,4,1,0,6,5,1,13,75430,9351,4069,1289401
pasif,20292586,45,4,1,0,9,7,2,12,69400,7550,4115,1336645
pasif,20292586,46,4,1,0,9,4,5,8,46450,7432,4006,1368174
pasif,20292586,47,4,1,0,6,5,1,13,88165,8218,4200,1428572
pasif,20292586,48,4,1,0,10,9,1,17,93415,6549,4170,1492300
pasif,20292586,49,4,1,0,8,8,0,18,114750,7390,4261,1263272
pasif,20292586,50,4,1,0,7,5,2,12,85325,9163,4465,1322841
pasif,20292586,51,4,1,0,9,8,1,14,91665,7708,4590,1385268
pasif,20292586,52,4,1,0,10,9,1,14,71500,7088,4609,1433710
pasif,20292586,53,4,1,0,7,6,1,14,83250,3551,4012,1490223
pasif,20292586,54,4,1,0,6,5,1,13,92080,8834,4542,1553805
pasif,20292586,55,4,1,0,13,11,2,17,88400,6173,4273,1613462
pasif,20292586,56,4,1,0,10,9,1,18,89990,7598,4489,1365476
pasif,20292586,57,4,1,0,7,6,1,13,75300,5072,4268,1416285
pasif,20292586,58,4,1,0,10,9,1,14,85450,7595,4334,1474092
pasif,20292586,59,4,1,0,5,4,1,12,49530,9884,4651,1508100
pasif,20292586,60,4,1,0,5,4,1,9,61560,4951,3855,1550559
pasif,20300505,1,4,1,0,5,5,0,13,54850,5144,2840,836891
pasif,20300505,2,4,1,0,6,5,1,12,55000,4138,2527,874100
pasif,20300505,3,4,1,0,7,6,1,11,62500,7336,2585,916294
pasif,20300505,4,4,1,0,7,6,1,11,58080,7383,2714,956066
pasif,20300505,5,4,1,0,7,6,1,10,52650,8761,2815,991820
pasif,20300505,6,4,1,0,8,8,0,16,77450,7732,2899,1043972
pasif,20300505,7,4,1,0,10,8,2,12,89700,5241,2406,811862
pasif,20300505,8,4,1,0,8,7,1,9,45600,9019,2341,842692
pasif,20300505,9,4,1,0,7,7,0,12,58450,7888,2988,882260
pasif,20300505,10,4,1,0,6,4,2,10,46600,6576,2699,913708
pasif,20300505,11,4,1,0,6,4,2,8,41900,9837,2952,942235
pasif,20300505,12,4,1,0,5,4,1,12,46515,8842,3186,974292
pasif,20300505,13,4,1,0,7,5,2,13,68350,6644,3347,1022019
pasif,20300505,14,4,1,0,7,6,1,13,76005,6436,3155,778814
pasif,20300505,15,4,1,0,5,4,1,12,83000,6663,3182,835104
pasif,20300505,16,4,1,0,5,5,0,13,61600,9773,3807,877489
pasif,20300505,17,4,1,0,9,7,2,12,75800,7435,3665,928632
pasif,20300505,18,4,1,0,6,4,2,12,70700,8835,3847,976930
pasif,20300505,19,4,1,0,9,8,1,13,91250,8940,4073,1038922
pasif,20300505,20,4,1,0,11,11,0,18,95700,7126,3478,1103615
pasif,20300505,21,4,1,0,8,7,1,15,88350,5972,3462,866721
pasif,20300505,22,4,1,0,4,4,0,14,67000,8487,3790,911928
pasif,20300505,23,4,1,0,8,8,0,14,83450,8369,4024,968467
pasif,20300505,24,4,1,0,7,6,1,13,58700,8281,4222,1007864
pasif,20300505,25,4,1,0,7,7,0,15,66200,8150,4299,1052594
pasif,20300505,26,4,1,0,7,5,2,12,64385,6869,4259,1097209
pasif,20300505,27,4,1,0,10,9,1,16,104705,8198,4293,1169003
pasif,20300505,28,4,1,0,11,9,2,15,94940,5513,3904,933924
pasif,20300505,29,4,1,0,9,9,0,14,82210,7972,4076,990120
pasif,20300505,30,4,1,0,8,6,2,12,72000,7931,4458,1039047
pasif,20300505,31,4,1,0,10,10,0,15,97500,6676,4479,1105004
pasif,20300505,32,4,1,0,10,9,1,14,93950,6651,4499,1168810
pasif,20300505,33,4,1,0,7,4,3,9,61800,7636,4215,1210538
pasif,20300505,34,4,1,0,9,8,1,17,101470,7977,4500,1280740
pasif,20300505,35,4,1,0,9,7,2,15,72620,7090,4331,1029208
pasif,20300505,36,4,1,0,7,5,2,12,84260,8210,4372,1086650
pasif,20300505,37,4,1,0,6,6,0,15,78600,7454,4570,1140533
pasif,20300505,38,4,1,0,10,9,1,14,89000,6725,4450,1200942
pasif,20300505,39,4,1,0,6,6,0,15,85350,8440,4739,1258769
pasif,20300505,40,4,1,0,8,7,1,15,87920,6122,4700,1319065
pasif,20300505,41,4,1,0,7,6,1,13,75600,7316,4344,1370638
pasif,20300505,42,4,1,0,10,7,3,13,76750,6787,4017,1118274
pasif,20300505,43,4,1,0,6,4,2,9,48550,8753,4112,1151366
pasif,20300505,44,4,1,0,10,9,1,13,78670,9098,4548,1205793
pasif,20300505,45,4,1,0,5,4,1,12,70105,3537,3915,1253681
pasif,20300505,46,4,1,0,7,7,0,14,102440,6038,3953,1324368
pasif,20300505,47,4,1,0,7,6,1,13,75400,4412,3586,1375663
pasif,20300505,48,4,1,0,8,5,3,11,57450,8341,2740,1414353
pasif,20300505,49,4,1,0,7,6,1,13,54700,8108,2878,1144335
pasif,20300505,50,4,1,0,8,5,3,9,60510,5561,2760,1186191
pasif,20300505,51,4,1,0,7,7,0,12,87400,8388,2973,1245950
pasif,20300505,52,4,1,0,7,7,0,13,105850,8761,3281,1317614
pasif,20300505,53,4,1,0,4,3,1,11,44650,9299,3544,1347582
pasif,20300505,54,4,1,0,7,7,0,14,100200,6907,3661,1415781
pasif,20300505,55,4,1,0,7,6,1,14,104550,7082,3579,1486719
pasif,20300505,56,4,1,0,11,9,2,14,86500,5505,3215,1236492
pasif,20300505,57,4,1,0,7,6,1,11,90105,6624,3329,1298453
pasif,20300505,58,4,1,0,11,10,1,12,79335,7001,3338,1352789
pasif,20300505,59,4,1,0,7,6,1,12,67650,6792,3348,1398718
pasif,20300505,60,4,1,0,8,7,1,11,84130,7882,3385,1457068
pasif,20308424,1,4,1,0,7,7,0,13,75900,9333,3462,851558
pasif,20308424,2,4,1,0,8,7,1,13,73900,9152,3701,901920
pasif,20308424,3,4,1,0,6,6,0,14,74630,9501,4319,952380
pasif,20308424,4,4,1,0,11,10,1,14,59750,8409,4481,992719
pasif,20308424,5,4,1,0,9,9,0,15,97100,6080,4342,1059358
pasif,20308424,6,4,1,0,5,4,1,18,76700,7586,4584,1110946
pasif,20308424,7,4,1,0,11,9,2,17,94150,8010,4677,881658
pasif,20308424,8,4,1,0,9,8,1,14,66470,6728,4444,926877
pasif,20308424,9,4,1,0,7,6,1,14,69600,7748,4472,974076
pasif,20308424,10,4,1,0,5,5,0,15,76800,9812,4991,1025928
pasif,20308424,11,4,1,0,7,6,1,14,81850,8773,5132,1081355
pasif,20308424,12,4,1,0,6,6,0,16,79750,5640,5134,1135292
pasif,20308424,13,4,1,0,8,7,1,18,101220,6394,5030,1204354
pasif,20308424,14,4,1,0,10,9,1,16,79550,7049,4551,962996
pasif,20308424,15,4,1,0,7,7,0,15,85100,6221,4553,1020629
pasif,20308424,16,4,1,0,8,8,0,15,78085,8599,4844,1073624
pasif,20308424,17,4,1,0,7,5,2,13,78600,8680,4968,1127130
